2026-03-10 18:59:33 | INFO    | [API] Event Feed: http://localhost:5001/api/progress/events
2026-03-10 18:59:33 | INFO    | [ENV] Production mode: None
2026-03-10 18:59:33 | INFO    | [ENV] Production mode: None
2026-03-10 18:59:33 | INFO    | [INFO] Manual-start mode — send POST /api/start to begin automation
2026-03-10 18:59:33 | INFO    | [INFO] Manual-start mode — send POST /api/start to begin automation
2026-03-10 18:59:33 | INFO    | [SERVER] Development mode - debug enabled
2026-03-10 18:59:33 | INFO    | [SERVER] Development mode - debug enabled
2026-03-10 18:59:33 | WARNING |  * Debugger is active!
2026-03-10 18:59:33 | INFO    |  * Debugger PIN: 376-490-533
2026-03-10 18:59:47 | INFO    |  * Detected change in '/Users/amo-korankye/Desktop/amokorankye/dev/AIVS/click-creators-comprehensive/comment-bot-server/media_manager.py', reloading
2026-03-10 18:59:49 | INFO    | [SERVER] Starting Social Media Comment Bot API Server...
2026-03-10 18:59:49 | INFO    | [SERVER] Starting Social Media Comment Bot API Server...
2026-03-10 18:59:49 | INFO    | [API] Documentation: http://localhost:5001/api/docs
2026-03-10 18:59:49 | INFO    | [API] Documentation: http://localhost:5001/api/docs
2026-03-10 18:59:49 | INFO    | [API] Current Progress: http://localhost:5001/api/progress/current
2026-03-10 18:59:49 | INFO    | [API] Current Progress: http://localhost:5001/api/progress/current
2026-03-10 18:59:49 | INFO    | [API] Event Feed: http://localhost:5001/api/progress/events
2026-03-10 18:59:49 | INFO    | [API] Event Feed: http://localhost:5001/api/progress/events
2026-03-10 18:59:49 | INFO    | [ENV] Production mode: None
2026-03-10 18:59:49 | INFO    | [ENV] Production mode: None
2026-03-10 18:59:49 | INFO    | [INFO] Manual-start mode — send POST /api/start to begin automation
2026-03-10 18:59:49 | INFO    | [INFO] Manual-start mode — send POST /api/start to begin automation
2026-03-10 18:59:49 | INFO    | [SERVER] Development mode - debug enabled
2026-03-10 18:59:49 | INFO    | [SERVER] Development mode - debug enabled
2026-03-10 18:59:49 | WARNING |  * Debugger is active!
2026-03-10 18:59:49 | INFO    |  * Debugger PIN: 376-490-533
2026-03-10 20:02:42 | INFO    |  * Detected change in '/Users/amo-korankye/Desktop/amokorankye/dev/AIVS/click-creators-comprehensive/comment-bot-server/logger.py', reloading
2026-03-10 20:02:43 | INFO    | [SERVER] Starting Social Media Comment Bot API Server...
2026-03-10 20:02:43 | INFO    | [API] Documentation: http://localhost:5001/api/docs
2026-03-10 20:02:43 | INFO    | [API] Current Progress: http://localhost:5001/api/progress/current
2026-03-10 20:02:43 | INFO    | [API] Event Feed: http://localhost:5001/api/progress/events
2026-03-10 20:02:43 | INFO    | [ENV] Production mode: None
2026-03-10 20:02:43 | INFO    | [INFO] Manual-start mode — send POST /api/start to begin automation
2026-03-10 20:02:43 | INFO    | [SERVER] Development mode - debug enabled
2026-03-10 20:02:43 | WARNING |  * Debugger is active!
2026-03-10 20:02:43 | INFO    |  * Debugger PIN: 376-490-533
